car_make,car_model,vehicle_type,classification_method,evidence,source_url,verification_status
Nissan,Leaf,Hatchback,llm-knowledge,EV hatchback.,,LLM-reviewed
Nissan,Livina,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:32.,,LLM-reviewed
Nissan,March,Hatchback,llm-knowledge,Supermini hatch.,,LLM-reviewed
Nissan,Murano,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:27.,,LLM-reviewed
Nissan,Navara,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:313.,,LLM-reviewed
Nissan,Note,Hatchback,llm-knowledge,Compact hatch.,,LLM-reviewed
Nissan,Nv200,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:64.,,LLM-reviewed
Nissan,Pulsar,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Nissan,Roox,Hatchback,llm-knowledge,Kei tall wagon.,,LLM-reviewed
Nissan,Sentra,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:136.,,LLM-reviewed
Nissan,Serena,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:650.,,LLM-reviewed
Nissan,Silvia,Sports car,llm-knowledge,S-chassis sports coupe.,,LLM-reviewed
Nissan,Skyline,Coupe,llm-knowledge,MY imports mostly R33/R34 coupes (sedans exist).,,LLM-reviewed
Nissan,Stagea,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Nissan,Sunny,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:12.,,LLM-reviewed
Nissan,Sylphy,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:141.,,LLM-reviewed
Nissan,Teana,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:166.,,LLM-reviewed
Nissan,Terrano,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Nissan,Urvan,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:69.,,LLM-reviewed
Nissan,Vanette,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:92.,,LLM-reviewed
Nissan,X-Gear,Hatchback,llm-knowledge,Livina X-Gear crossover-styled hatch; DB majority Hatchback.,,LLM-reviewed
Nissan,X-Trail,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:527.,,LLM-reviewed
Perodua,5448,SUV / Crossover,web-verify,Mudah model-code label for the 2026 Perodua Ativa (SUV).,https://www.mudah.my/all-new-2026-perodua-ativa-av-d-cvt-cash-back-1k-114529541.htm,Verified
Perodua,Alza,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:1302.,,LLM-reviewed
Perodua,Aruz,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Mpvs:229.,,LLM-reviewed
Perodua,Ativa,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:445.,,LLM-reviewed
Perodua,Axia,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:1449.,,LLM-reviewed
Perodua,Bezza,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1229.,,LLM-reviewed
Perodua,Kancil,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:151.,,LLM-reviewed
Perodua,Kelisa,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:155.,,LLM-reviewed
Perodua,Kembara,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:39.,,LLM-reviewed
Perodua,Kenari,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:97.,,LLM-reviewed
Perodua,Myvi,Hatchback,official source,Perodua official Myvi page is under its hatchback model path.,https://www.perodua.com.my/our-models/hatchback/myvi,Verified
Perodua,Nautica,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Perodua,Rusa,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:5.,,LLM-reviewed
Perodua,Traz,SUV / Crossover,web-verify,"Toyota Yaris Cross twin B-segment SUV, launched Dec 2025.",https://paultan.org/2025/12/17/2026-perodua-traz-launched-in-malaysia-toyota-yaris-cross-b-suv-twin-1-5l-na-cvt-x-h-variants-fr-rm76k/,Verified
Perodua,Viva,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:368.,,LLM-reviewed
Peugeot,2008,SUV / Crossover,llm-knowledge,Compact crossover; DB majority SUV.,,LLM-reviewed
Peugeot,206 Coupe,Convertible / Roadster,llm-knowledge,206 CC coupe-cabriolet.,,LLM-reviewed
Peugeot,207,Sedan,llm-knowledge,MY 207 = Naza-assembled sedan; DB majority Sedan.,,LLM-reviewed
Peugeot,207 Sv,Sedan,llm-knowledge,MY 207 SV sedan trim.,,LLM-reviewed
Peugeot,208,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:73.,,LLM-reviewed
Peugeot,208 Gti,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:3.,,LLM-reviewed
Peugeot,3008,SUV / Crossover,llm-knowledge,SUV; DB 156 SUV.,,LLM-reviewed
Peugeot,306,Sedan / Hatchback,llm-knowledge,Both bodies sold in MY.,,LLM-reviewed
Peugeot,307,Hatchback,llm-knowledge,Compact hatch.,,LLM-reviewed
Peugeot,308,Hatchback,llm-knowledge,Compact hatch; DB majority Hatchback.,,LLM-reviewed
Peugeot,405,Sedan,llm-knowledge,405 saloon.,,LLM-reviewed
Peugeot,407,Sedan,llm-knowledge,407 saloon.,,LLM-reviewed
Peugeot,408,Sedan,llm-knowledge,MY 408 saloon; DB majority Sedan.,,LLM-reviewed
Peugeot,5008,SUV / Crossover,llm-knowledge,Gen-2 5008 SUV (gen-1 was an MPV); DB split.,,LLM-reviewed
Peugeot,508,Sedan,llm-knowledge,508 saloon/fastback.,,LLM-reviewed
Peugeot,Landtrek,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:5.,,LLM-reviewed
Peugeot,Rcz,Coupe,llm-knowledge,RCZ sports coupe.,,LLM-reviewed
Peugeot,Traveller,MPV / Minivan,llm-knowledge,Traveller people mover; DB all MPV.,,LLM-reviewed
Porsche,718,Sports car,llm-knowledge,Cayman/Boxster mid-engine sports car.,,LLM-reviewed
Porsche,911 Carrera,Sports car,llm-knowledge,911 sports car.,,LLM-reviewed
Porsche,911 Carrera 4S,Sports car,llm-knowledge,911 sports car.,,LLM-reviewed
Porsche,911 Carrera S,Sports car,llm-knowledge,911 sports car.,,LLM-reviewed
Porsche,911 Gt2,Sports car,llm-knowledge,911 track special.,,LLM-reviewed
Porsche,911 Gt3,Sports car,llm-knowledge,911 track special.,,LLM-reviewed
Porsche,911 Gt3 Rs,Sports car,llm-knowledge,911 track special.,,LLM-reviewed
Porsche,911 Targa,Sports car,llm-knowledge,911 targa.,,LLM-reviewed
Porsche,911 Turbo,Sports car,llm-knowledge,911 sports car.,,LLM-reviewed
Porsche,911S,Sports car,llm-knowledge,Classic 911.,,LLM-reviewed
Porsche,944,Sports car,llm-knowledge,Front-engine sports car.,,LLM-reviewed
Porsche,992 Carrera S,Sports car,llm-knowledge,911 sports car.,,LLM-reviewed
Porsche,Boxster,Convertible / Roadster,llm-knowledge,Mid-engine roadster.,,LLM-reviewed
Porsche,Boxster S,Convertible / Roadster,llm-knowledge,Mid-engine roadster.,,LLM-reviewed
Porsche,Cayenne,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:220.,,LLM-reviewed
Porsche,Cayenne Diesel,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:20.,,LLM-reviewed
Porsche,Cayenne Gts,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Porsche,Cayenne S,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:53.,,LLM-reviewed
Porsche,Cayenne Turbo,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:20.,,LLM-reviewed
Porsche,Cayman,Sports car,llm-knowledge,Mid-engine sports coupe.,,LLM-reviewed
Porsche,Cayman Gt4,Sports car,llm-knowledge,Mid-engine sports coupe.,,LLM-reviewed
Porsche,Cayman Gts,Sports car,llm-knowledge,Mid-engine sports coupe.,,LLM-reviewed
Porsche,Cayman S,Sports car,llm-knowledge,Mid-engine sports coupe.,,LLM-reviewed
Porsche,Macan,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:337.,,LLM-reviewed
Porsche,Macan Gts,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:28.,,LLM-reviewed
Porsche,Macan S,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:59.,,LLM-reviewed
Porsche,Macan Turbo,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:10.,,LLM-reviewed
Porsche,Panamera,Sedan,llm-knowledge,"4-door fastback, sedan profile.",,LLM-reviewed
Porsche,Taycan,Sedan,llm-knowledge,"4-door EV fastback, sedan profile.",,LLM-reviewed
Proton,Arena,Pickup / Truck,llm-knowledge,Arena ute; DB majority Pick-Up.,,LLM-reviewed
Proton,Emas 5,Hatchback,web-verify,"B-segment EV hatchback, launched Oct 2025.",https://www.zigwheels.my/new-cars/proton/emas-5,Verified
Proton,Emas 7,SUV / Crossover,llm-knowledge,eMas 7 electric SUV; DB 67 SUV.,,LLM-reviewed
Proton,Ertiga,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:55.,,LLM-reviewed
Proton,Exora,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:572.,,LLM-reviewed
Proton,Gen2,Hatchback,make/model heuristic,LLM pass concurs; DB majority Sedan:61.,,LLM-reviewed
Proton,Inspira,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:160.,,LLM-reviewed
Proton,Iriz,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:437.,,LLM-reviewed
Proton,Iswara,Sedan / Hatchback,llm-knowledge,Saloon and Aeroback hatch; DB split.,,LLM-reviewed
Proton,Juara,Hatchback,llm-knowledge,Kei tall wagon (Daihatsu Move-based).,,LLM-reviewed
Proton,Perdana,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:199.,,LLM-reviewed
Proton,Persona,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1184.,,LLM-reviewed
Proton,Preve,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:309.,,LLM-reviewed
Proton,Putra,Coupe,llm-knowledge,2-door coupe; DB 17 Coupe.,,LLM-reviewed
Proton,S70,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:187.,,LLM-reviewed
Proton,Saga,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1761.,,LLM-reviewed
Proton,Satria,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:157.,,LLM-reviewed
Proton,Savvy,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:19.,,LLM-reviewed
Proton,Suprima S,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:60.,,LLM-reviewed
Proton,Waja,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:265.,,LLM-reviewed
Proton,Wira,Sedan / Hatchback,llm-knowledge,Saloon and Aeroback hatch; DB 416/108.,,LLM-reviewed
Proton,X50,SUV / Crossover,official source,Proton official X50 model page; X50 is marketed as a compact SUV/crossover.,https://www.proton.com/models/all-new-x50,Verified
Proton,X70,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:937.,,LLM-reviewed
Proton,X90,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:66.,,LLM-reviewed
Renault,Captur,SUV / Crossover,llm-knowledge,Compact crossover; DB majority SUV.,,LLM-reviewed
Renault,Clio,Hatchback,llm-knowledge,Supermini hatch.,,LLM-reviewed
Renault,Fluence,Sedan,llm-knowledge,Fluence saloon; DB all Sedan.,,LLM-reviewed
Renault,Kangoo,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
Renault,Koleos,SUV / Crossover,llm-knowledge,Koleos SUV.,,LLM-reviewed
Renault,Megane,Hatchback,llm-knowledge,Megane hatch (RS); DB majority Hatchback.,,LLM-reviewed
Renault,Scenic,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Sports:1.,,LLM-reviewed
Renault,Twizy,Hatchback,llm-knowledge,Electric microcar quadricycle.,,LLM-reviewed
Rolls-Royce,Cullinan,SUV / Crossover,llm-knowledge,Cullinan SUV; DB unanimous SUV.,,LLM-reviewed
Rolls-Royce,Dawn,Convertible / Roadster,llm-knowledge,Dawn convertible.,,LLM-reviewed
Rolls-Royce,Ghost,Sedan,make default heuristic,LLM pass concurs; DB majority Sedan:44.,,LLM-reviewed
Rolls-Royce,Phantom,Sedan,make default heuristic,LLM pass concurs; DB majority Sedan:8.,,LLM-reviewed
Rolls-Royce,Silver Spirit,Sedan,make default heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Rolls-Royce,Spectre,Coupe,llm-knowledge,Electric luxury coupe.,,LLM-reviewed
Rolls-Royce,Wraith,Coupe,llm-knowledge,Luxury coupe; DB majority Coupe.,,LLM-reviewed
Rover,200,Hatchback,llm-knowledge,R3 200 hatch.,,LLM-reviewed
Rover,600,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Rover,75,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Saab,9-5,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Saab,900,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Shenyang Brilliance,Era Jinbei,Van / Commercial,llm-knowledge,Jinbei van assembled in MY.,,LLM-reviewed
Skoda,Octavia,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Skoda,Superb,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Smart,1,SUV / Crossover,llm-knowledge,Smart #1 EV crossover; DB majority SUV.,,LLM-reviewed
Smart,3,SUV / Crossover,llm-knowledge,Smart #3 EV coupe-crossover; DB all SUV.,,LLM-reviewed
Smart,Forfour,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:6.,,LLM-reviewed
Smart,Fortwo,Hatchback,make/model heuristic,LLM pass concurs; DB majority Coupe:6.,,LLM-reviewed
Smart,Roadster,Convertible / Roadster,llm-knowledge,Smart Roadster.,,LLM-reviewed
Ssangyong,Actyon,SUV / Crossover,llm-knowledge,Actyon SUV.,,LLM-reviewed
Ssangyong,Chairman,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Ssangyong,Rexton,SUV / Crossover,llm-knowledge,Rexton SUV.,,LLM-reviewed
Ssangyong,Stavic,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:14.,,LLM-reviewed
Subaru,Brz,Sports car,llm-knowledge,Toyota 86 twin sports car.,,LLM-reviewed
Subaru,Forester,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:171.,,LLM-reviewed
Subaru,Impreza,Sedan / Hatchback,llm-knowledge,Both bodies sold in MY; DB 20/6.,,LLM-reviewed
Subaru,Legacy,Sedan,llm-knowledge,Saloon (estate variant exists); DB Sedan.,,LLM-reviewed
Subaru,Levorg,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Others:14.,,LLM-reviewed
Subaru,Outback,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Subaru,Wrx,Sedan,llm-knowledge,WRX saloon; DB 20 Sedan.,,LLM-reviewed
Subaru,Xv,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:329.,,LLM-reviewed
Suzuki,Alto,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:13.,,LLM-reviewed
Suzuki,Erv,MPV / Minivan,web-verify,Discontinued 1.3L MPV/people mover per Zigwheels MY.,https://www.zigwheels.my/new-cars/suzuki/erv,Verified
Suzuki,Fronx,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Suzuki,Grand Vitara,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:26.,,LLM-reviewed
Suzuki,Ignis,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Suzuki,Jimny,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:155.,,LLM-reviewed
Suzuki,Kizashi,Sedan,llm-knowledge,Kizashi saloon.,,LLM-reviewed
Suzuki,Spacia,Hatchback,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Suzuki,Swift,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:362.,,LLM-reviewed
Suzuki,Sx4,Hatchback,llm-knowledge,MY SX4 crossover hatch (sedan variant exists); DB majority Hatchback.,,LLM-reviewed
Suzuki,Vitara,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:22.,,LLM-reviewed
Suzuki,X-90,SUV / Crossover,llm-knowledge,Two-door SUV.,,LLM-reviewed
Tata,Telcoline,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
Td2000,Silverstone,Convertible / Roadster,llm-knowledge,MY-built classic-style roadster.,,LLM-reviewed
Tesla,Model 3,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:26.,,LLM-reviewed
Tesla,Model S 75D,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Tesla,Model X 100D,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Tesla,Model X 75D,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Mpvs:1.,,LLM-reviewed
Tesla,Model X P100D,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Tesla,Model X P90D,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Tesla,Model Y,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:15.,,LLM-reviewed
Toyota,86,Sports car,llm-knowledge,86 sports car.,,LLM-reviewed
Toyota,Ae86,Coupe,llm-knowledge,AE86 Levin/Trueno coupe.,,LLM-reviewed
Toyota,Alphard,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:2507.,,LLM-reviewed
Toyota,Altezza,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Toyota,Altis,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:434.,,LLM-reviewed
Toyota,Aristo,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Toyota,Avanza,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:290.,,LLM-reviewed
Toyota,Bb,Hatchback,llm-knowledge,Boxy compact hatch.,,LLM-reviewed
Toyota,C-Hr,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:79.,,LLM-reviewed
Toyota,Caldina,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Hatchback:6.,,LLM-reviewed
Toyota,Camroad,Pickup / Truck,llm-knowledge,Truck-based camper chassis.,,Needs source URL
Toyota,Camry,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:619.,,LLM-reviewed
Toyota,Celica,Coupe,llm-knowledge,Celica sports coupe.,,LLM-reviewed
Toyota,Celsior,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Toyota,Chaser,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Toyota,Copen,Convertible / Roadster,llm-knowledge,Copen GR kei roadster.,,LLM-reviewed
Toyota,Corolla,Sedan / Hatchback,llm-knowledge,Classic sedans plus hatch imports; DB 84/47.,,LLM-reviewed
Toyota,Corolla Cross,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:205.,,LLM-reviewed
Toyota,Corona,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Toyota,Crown,SUV / Crossover,llm-knowledge,Recent MY imports are Crown Crossover; DB majority SUV.,,LLM-reviewed
Toyota,Cygnus,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:5.,,LLM-reviewed
Toyota,Estima,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:443.,,LLM-reviewed
Toyota,Fj Cruiser,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:18.,,LLM-reviewed
Toyota,Fortuner,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:212.,,LLM-reviewed
Toyota,Gaia,MPV / Minivan,llm-knowledge,Ipsum-class MPV.,,LLM-reviewed
Toyota,Gr Supra,Sports car,llm-knowledge,Supra sports car.,,LLM-reviewed
Toyota,Gr Yaris,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:133.,,LLM-reviewed
Toyota,Gr86,Sports car,llm-knowledge,GR86 sports car.,,LLM-reviewed
Toyota,Granace,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
Toyota,Grmn Yaris,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:5.,,LLM-reviewed
Toyota,Harrier,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1132.,,LLM-reviewed
Toyota,Hiace,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:185.,,LLM-reviewed
Toyota,Hilux,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:548.,,LLM-reviewed
Toyota,Innova,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:441.,,LLM-reviewed
Toyota,Ipsum,MPV / Minivan,llm-knowledge,Ipsum MPV; DB all MPV.,,LLM-reviewed
Toyota,Isis,MPV / Minivan,llm-knowledge,Isis MPV.,,LLM-reviewed
Toyota,Ist,Hatchback,llm-knowledge,ist compact hatch.,,LLM-reviewed
Toyota,Kluger,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Toyota,Land Cruiser,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:315.,,LLM-reviewed
Toyota,Liteace,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:4.,,LLM-reviewed
Toyota,Mark X,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:20.,,LLM-reviewed
Toyota,Mr2,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Toyota,Noah,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:103.,,LLM-reviewed
Toyota,Opa,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Toyota,Prado,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:43.,,LLM-reviewed
Toyota,Previa,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:14.,,LLM-reviewed
Toyota,Prius,Hatchback,llm-knowledge,Liftback hatch all generations; DB majority Hatchback.,,LLM-reviewed
Toyota,Prius C,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:39.,,LLM-reviewed
Toyota,Publica,Sedan,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Toyota,Rav 4,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:33.,,LLM-reviewed
Toyota,Roomy,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:21.,,LLM-reviewed
Toyota,Rush,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:67.,,LLM-reviewed
Toyota,Sienta,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:35.,,LLM-reviewed
Toyota,Soarer,Coupe,llm-knowledge,Soarer GT coupe.,,LLM-reviewed
Toyota,Starlet,Hatchback,llm-knowledge,Starlet hatch.,,LLM-reviewed
Toyota,Supra,Sports car,llm-knowledge,Supra sports car.,,LLM-reviewed
Toyota,Tank,MPV / Minivan,llm-knowledge,"Roomy twin, sliding-door tall wagon.",,LLM-reviewed
Toyota,Townace,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Mpvs:1.,,LLM-reviewed
Toyota,Unser,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:43.,,LLM-reviewed
Toyota,Vanguard,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Toyota,Vellfire,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:1474.,,LLM-reviewed
Toyota,Veloz,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:42.,,LLM-reviewed
Toyota,Vios,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1568.,,LLM-reviewed
Toyota,Voxy,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:325.,,LLM-reviewed
Toyota,Wald,MPV / Minivan,llm-knowledge,Wald-bodykit Alphard/Vellfire listings.,,Needs source URL
Toyota,Wish,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:251.,,LLM-reviewed
Toyota,Yaris,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:391.,,LLM-reviewed
Toyota,Yaris Cross,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:15.,,LLM-reviewed
Tq Wuling,Bingo,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:4.,,LLM-reviewed
Triumph,Herald,Sedan,llm-knowledge,Small saloon (convertible existed).,,LLM-reviewed
Volkswagen,Arteon,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:60.,,LLM-reviewed
Volkswagen,Beetle,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:87.,,LLM-reviewed
Volkswagen,Cc,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:25.,,LLM-reviewed
Volkswagen,Cross Touran,MPV / Minivan,llm-knowledge,Touran MPV with cladding; DB majority MPV.,,LLM-reviewed
Volkswagen,Eos,Convertible / Roadster,llm-knowledge,Coupe-cabriolet.,,LLM-reviewed
Volkswagen,Golf,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:455.,,LLM-reviewed
Volkswagen,Jetta,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:110.,,LLM-reviewed
Volkswagen,Kombi,Van / Commercial,llm-knowledge,Kombi van/people mover.,,LLM-reviewed
Volkswagen,Passat,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:306.,,LLM-reviewed
Volkswagen,Passat Cc,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Volkswagen,Polo,Sedan / Hatchback,llm-knowledge,MY Polo hatch and Polo Sedan both official; DB 165/78.,,LLM-reviewed
Volkswagen,Polo Gti,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:27.,,LLM-reviewed
Volkswagen,Scirocco,Coupe,llm-knowledge,3-door sports coupe.,,LLM-reviewed
Volkswagen,Scirocco R,Coupe,llm-knowledge,3-door sports coupe.,,LLM-reviewed
Volkswagen,Sharan,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:17.,,LLM-reviewed
Volkswagen,T-Roc,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
